"","name","birthyear","taste","height","weight","gender"
"263","Daniela",1958,"Cats",2.68,59,"O"
"267","Lucas",1977,"Food",1.54,118,"O"
"268","Luis",1963,"Magic",1.78,77,"M"
"269","Marina",1992,"Food",2.98,65,"F"
"266","Daniel",1958,"Food",2.89,76,"O"
"270","Daniela",1961,"Movie",2.56,57,"F"
"271","Felipe",2004,"Food",2.87,92,"O"
"272","Nathália",1970,"Food",2.78,71,"F"
"273","Luis",2009,"Sports",2.79,70,"M"
"274","Lucas",1993,"Games",2.85,72,"M"
"275","Nina",1988,"Chess",1.91,94,"F"
"276","Melissa",1957,"Guitar",2.8,72,"O"
"277","Letícia",2013,"Games",1.8,100,"O"
"278","Ariel",2006,"Dogs",1.61,104,"O"
"279","Ariel",1958,"Movie",2.72,61,"O"
"280","Daniela",1963,"Food",1.65,107,"F"
"281","Nina",1999,"Sports",1.85,105,"F"
"283","Matheus",2013,"Movie",1.86,84,"O"
"282","Matheus",1961,"Travel",1.95,84,"M"
"284","Marina",1961,"Travel",1.62,56,"O"
"285","Marina",2009,"Food",1.8,72,"O"
"286","Felipe",1981,"Chess",1.69,98,"O"
"287","Letícia",1978,"Travel",1.84,92,"F"
"289","Marina",1988,"Study",1.91,90,"F"
"288","Marcela",1957,"Chess",1.63,95,"O"
"290","Melissa",2002,"Games",1.6,63,"O"
"291","Kátia",1974,"Dogs",2.93,67,"F"
"292","Daniela",1955,"Food",1.54,72,"O"
"294","Kátia",1993,"Games",2.93,106,"O"
"295","Cesar",1955,"Movie",1.68,80,"M"
"293","Luis",1956,"Sports",2.95,64,"M"
"296","Daniela",2006,"Games",1.54,84,"O"
"297","Nathália",1967,"Sports",2.58,84,"F"
"298","Cesar",1979,"Chess",2.81,127,"M"
"300","Matheus",1966,"Movie",1.69,90,"M"
"301","Nina",1985,"Food",2.9,112,"O"
"299","David",1976,"Sports",2.91,88,"M"
"302","David",1963,"Study",2.54,108,"M"
"303","Ariel",1993,"Sports",1.76,58,"O"
"304","Ricardo",1961,"Dogs",2.64,83,"O"
"305","Marina",1966,"Cats",2.77,64,"F"
"306","Nathália",2013,"Study",1.59,69,"F"
"307","Ariel",2000,"Study",1.99,95,"F"
"308","Lucas",1998,"Games",2.9,107,"M"
"309","David",2011,"Magic",1.75,110,"O"
"312","Larissa",1999,"Magic",2.88,100,"O"
"311","Paulo",1979,"Sports",2.88,62,"M"
"310","Melissa",1960,"Study",1.58,116,"O"
"313","Melissa",1989,"Travel",1.51,89,"F"
"314","Rogério",1978,"Guitar",2.8,87,"M"
"315","Nina",2020,"Travel",1.5,129,"F"
"316","Ariel",1964,"Dogs",2.6,77,"O"
"317","Daniel",2006,"Food",2.84,94,"O"
"318","Ricardo",1971,"Movie",1.72,69,"M"
"319","Kátia",1981,"Dogs",1.93,67,"F"
"320","Daniela",1967,"Dogs",1.9,114,"O"
"322","Ariel",1971,"Sports",2.74,77,"M"
"321","Marina",1973,"Cats",1.99,119,"F"
"323","Marina",1996,"Travel",1.71,110,"F"
"324","Nina",2002,"Study",1.87,122,"F"
"325","Luis",2012,"Travel",2.88,78,"M"
"326","Lucas",2020,"Games",1.63,83,"M"
"327","Marcela",1974,"Study",1.52,128,"F"
"328","Cesar",1959,"Magic",2.71,98,"O"
"329","Daniel",1985,"Chess",2.86,108,"M"
"330","Luis",1962,"Travel",1.85,119,"M"
"332","Ricardo",1976,"Sports",1.66,91,"M"
"331","Felipe",1971,"Chess",2.88,79,"M"
"333","Felipe",1993,"Food",2.62,94,"M"
"335","Larissa",2006,"Food",2.95,98,"F"
"334","João",1990,"Guitar",2.94,64,"O"
"336","Ariel",1955,"Sports",1.68,59,"F"
"337","Kátia",2013,"Chess",1.79,75,"F"
"338","Lucas",1996,"Games",1.88,93,"M"
"341","Luis",1972,"Study",1.84,104,"O"
"339","Felipe",2016,"Guitar",2.57,89,"M"
"342","João",1966,"Study",2.9,56,"M"
"340","Luis",2017,"Games",1.86,89,"O"
"343","David",1960,"Guitar",1.86,102,"O"
"344","João",1973,"Magic",2.58,67,"M"
"345","Kátia",1995,"Food",1.71,95,"F"
"346","Ariel",1978,"Dogs",2.52,123,"M"
"347","Cesar",1977,"Dogs",2.9,99,"O"
"348","Marcela",1991,"Travel",2.85,75,"F"
"349","Kátia",1998,"Guitar",2.55,121,"F"
"350","Marina",1958,"Travel",1.59,105,"F"
"351","Ariel",1979,"Movie",1.74,121,"O"
"352","Larissa",2019,"Dogs",2.86,130,"O"
"353","Daniel",2008,"Guitar",2.82,103,"M"
"354","David",1957,"Magic",2.76,57,"M"
"355","Marcela",1971,"Movie",2.67,106,"F"
"356","Ariel",2012,"Magic",2.72,96,"O"
"357","Matheus",1982,"Cats",2.89,111,"M"
"358","Letícia",1966,"Sports",1.78,75,"F"
"360","Matheus",2010,"Magic",2.72,63,"M"
"359","Paulo",1956,"Dogs",1.61,101,"O"
"361","Daniela",2013,"Sports",1.76,91,"F"
"363","Ricardo",1972,"Food",1.8,83,"M"
"362","Rogério",2020,"Sports",1.96,82,"M"
"364","Felipe",1980,"Guitar",1.64,91,"O"
"365","Matheus",1966,"Dogs",1.66,100,"M"
"366","Daniel",1955,"Sports",1.88,126,"O"
"367","Paulo",1974,"Chess",1.6,127,"O"
"368","Nina",1960,"Dogs",2.66,116,"O"
"370","Melissa",1989,"Travel",1.77,74,"F"
"369","Rogério",2012,"Guitar",1.56,129,"O"
"371","Nathália",1982,"Magic",2.79,115,"O"
"372","Cesar",1980,"Cats",2.63,58,"O"
"374","Luis",1983,"Sports",1.91,98,"M"
"373","Kátia",1981,"Movie",1.77,120,"F"
"376","Paulo",1970,"Chess",1.89,76,"M"
"377","Luis",2018,"Magic",2.68,75,"M"
"375","Ricardo",1988,"Games",2.78,106,"M"
"378","Ricardo",1976,"Cats",1.81,60,"O"
"379","Rogério",1980,"Study",2.63,65,"O"
"380","Nathália",1960,"Magic",2.51,85,"F"
"382","Luis",1971,"Travel",1.79,129,"M"
"381","Paulo",1989,"Sports",1.99,60,"O"
"383","Daniela",2003,"Magic",2.94,112,"F"
"385","Melissa",1959,"Food",2.74,58,"F"
"386","Lucas",1974,"Magic",1.67,104,"O"
"384","Ariel",2017,"Games",2.8,87,"M"
"387","Luis",2002,"Magic",2.69,67,"M"
"389","João",2017,"Study",1.93,87,"O"
"390","Marina",2019,"Cats",1.93,101,"F"
"388","Felipe",1987,"Chess",2.64,95,"O"
"391","Lucas",1979,"Guitar",1.53,68,"M"
"392","Kátia",2001,"Cats",1.67,78,"F"
"394","Melissa",1993,"Study",2.7,89,"O"
"393","Marina",1960,"Cats",1.95,129,"O"
"396","Marcela",1989,"Magic",1.97,122,"F"
"395","Lucas",1957,"Movie",2.95,77,"O"
"399","Rogério",1975,"Cats",2.58,102,"M"
"398","Daniel",2002,"Cats",1.53,130,"M"
"397","Melissa",1961,"Sports",2.83,95,"F"
"400","Lucas",1966,"Games",2.68,68,"M"
"401","Lucas",1998,"Games",1.52,79,"M"
"402","João",1980,"Guitar",1.83,90,"O"
"403","Ariel",1989,"Chess",1.71,72,"O"
"404","Marina",1969,"Chess",2.87,101,"O"
"405","Ariel",1994,"Games",1.98,94,"F"
"406","Lucas",1971,"Movie",1.65,64,"M"
"407","Ricardo",1957,"Cats",2.74,73,"O"
"408","João",2010,"Magic",2.76,73,"O"
"409","Ariel",2007,"Chess",1.55,67,"M"
"411","Cesar",1965,"Sports",2.81,105,"M"
"410","Rogério",1965,"Dogs",1.64,98,"M"
"412","Letícia",1960,"Dogs",2.65,123,"F"
"413","Paulo",2001,"Dogs",2.72,89,"M"
"414","Lucas",1994,"Guitar",1.92,110,"O"
"415","Kátia",1998,"Guitar",2.66,69,"O"
"417","Lucas",1970,"Travel",1.84,64,"O"
"416","Nathália",2008,"Cats",1.73,117,"O"
"418","João",1982,"Food",2.81,100,"M"
"419","Cesar",1955,"Sports",1.67,106,"O"
"420","Daniel",1986,"Chess",1.61,87,"M"
"421","Daniela",1980,"Travel",2.56,83,"F"
"422","Marina",1978,"Guitar",2.63,128,"F"
"424","Letícia",1958,"Games",2.59,72,"F"
"425","Cesar",1983,"Chess",2.87,83,"M"
"423","Nathália",1978,"Study",2.59,77,"F"
"426","Paulo",1975,"Chess",1.63,87,"O"
"427","Larissa",2007,"Games",1.67,61,"F"
"428","Kátia",1984,"Dogs",1.94,82,"F"
"429","Larissa",2019,"Chess",1.97,76,"O"
"431","Luis",1969,"Chess",1.52,59,"O"
"430","Felipe",2011,"Guitar",2.79,74,"O"
"432","Marcela",1974,"Study",2.83,71,"F"
"433","Larissa",1984,"Study",1.78,80,"F"
"434","Kátia",2000,"Cats",1.6,110,"F"
"435","Nina",1986,"Magic",1.8,65,"O"
"436","Lucas",2017,"Games",1.83,66,"M"
"438","Melissa",1965,"Sports",2.77,127,"F"
"439","Felipe",1992,"Cats",2.88,121,"M"
"440","Ricardo",1970,"Cats",2.86,86,"M"
"437","Melissa",2016,"Study",2.93,104,"F"
"441","Lucas",2010,"Cats",1.66,114,"M"
"444","Ariel",1984,"Sports",1.7,69,"F"
"442","Felipe",1986,"Travel",1.7,74,"M"
"443","Felipe",1959,"Sports",1.8,93,"O"
"445","David",1988,"Dogs",2.79,92,"O"
"447","David",1981,"Cats",1.84,65,"M"
"446","Daniel",1981,"Study",2.64,124,"M"
"449","Matheus",1970,"Games",2.58,73,"M"
"448","Nathália",2006,"Movie",1.61,123,"F"
"451","Luis",2014,"Study",1.89,112,"M"
"450","Kátia",1991,"Study",2.61,76,"F"
"452","Rogério",1993,"Travel",2.56,59,"M"
"453","Daniela",2007,"Magic",1.91,122,"O"
"454","Lucas",1992,"Cats",2.84,68,"M"
"455","Ariel",2008,"Dogs",1.84,105,"O"
"456","Larissa",2008,"Travel",1.91,94,"F"
"457","Letícia",1989,"Food",1.93,84,"F"
"458","Daniel",1972,"Dogs",2.68,115,"M"
"459","Marina",1990,"Chess",2.58,120,"O"
"460","Kátia",1988,"Chess",2.53,125,"O"
"461","Rogério",2019,"Magic",1.7,110,"M"
"462","Ariel",1975,"Chess",2.87,69,"M"
"463","Luis",1998,"Magic",1.67,71,"M"
"464","David",1996,"Games",1.8,98,"O"
"465","David",1963,"Sports",2.75,98,"M"
"466","Larissa",1999,"Study",2.67,69,"F"
"467","Melissa",1992,"Sports",1.87,121,"F"
"468","Cesar",1966,"Dogs",2.58,65,"M"
"469","João",2002,"Dogs",2.98,87,"O"
"470","Nina",1969,"Travel",2.79,74,"O"
"471","Marcela",1955,"Chess",2.92,111,"F"
"472","Larissa",2001,"Food",2.55,130,"O"
"473","Letícia",2014,"Food",2.57,69,"F"
"474","Luis",1973,"Games",2.81,98,"O"
"475","Daniela",2015,"Dogs",2.89,90,"F"
"476","Marcela",1982,"Travel",1.56,98,"F"
"477","Paulo",2015,"Magic",1.67,67,"O"
"478","Nina",1974,"Dogs",2.92,81,"F"
"479","Nathália",2020,"Food",2.88,70,"F"
"480","Nina",1971,"Cats",2.58,72,"O"
"481","Nathália",1976,"Games",1.64,124,"F"
"482","Marina",1988,"Sports",2.66,78,"F"
"483","Nina",1969,"Movie",2.85,87,"O"
"484","Felipe",1987,"Study",1.78,103,"O"
"485","Matheus",1993,"Study",1.74,116,"M"
"486","Ricardo",1983,"Games",1.73,87,"O"
"487","David",2003,"Games",2.55,59,"O"
"488","Paulo",1973,"Study",2.69,56,"O"
"489","David",2020,"Guitar",2.92,92,"M"
"490","Nina",1994,"Chess",2.65,71,"O"
"493","Nina",1961,"Study",1.52,126,"O"
"494","Nathália",2014,"Guitar",1.95,60,"F"
"495","David",1959,"Games",2.9,72,"O"
"496","Daniela",1993,"Travel",2.56,64,"O"
"497","Ricardo",1966,"Movie",2.95,106,"O"
"492","Felipe",1975,"Movie",2.54,125,"M"
"498","Rogério",1959,"Dogs",2.63,66,"M"
"499","Marcela",2019,"Dogs",2.64,128,"O"
"491","Rogério",1956,"Magic",2.71,61,"O"
"500","Larissa",1984,"Guitar",2.56,115,"F"
"504","Kátia",1975,"Guitar",2.74,102,"F"
"501","Matheus",1986,"Food",1.8,112,"M"
"502","Letícia",1981,"Travel",1.56,97,"F"
"503","Ricardo",1967,"Magic",2.84,119,"O"
"505","Rogério",1980,"Dogs",1.68,86,"O"
"506","Ricardo",2003,"Dogs",2.71,113,"M"
"507","Daniel",1986,"Dogs",2.93,93,"M"
"508","Ariel",2007,"Food",1.61,82,"F"
"510","Ariel",1980,"Sports",1.86,57,"M"
"511","João",2017,"Guitar",1.91,121,"M"
"509","Rogério",1990,"Chess",1.6,121,"M"
"512","Lucas",1992,"Movie",2.8,92,"O"
"513","David",1961,"Guitar",1.76,83,"O"
"514","Paulo",1975,"Guitar",2.68,85,"O"
"515","Lucas",1990,"Food",1.68,105,"O"
"517","Ricardo",1970,"Dogs",2.63,127,"M"
"516","Luis",1983,"Guitar",1.88,78,"M"
"518","Ricardo",1962,"Guitar",2.98,101,"O"
"519","Ricardo",1996,"Travel",1.84,76,"M"
"520","Larissa",1992,"Dogs",2.96,93,"F"
"523","João",1958,"Food",1.61,93,"M"
"521","Nathália",1984,"Food",1.8,69,"O"
"522","Nathália",1991,"Magic",1.66,86,"F"
"524","Matheus",1991,"Travel",2.74,67,"M"
"526","Matheus",1964,"Sports",1.55,92,"M"
"527","Ricardo",1969,"Movie",2.73,127,"O"
"525","Rogério",1971,"Magic",2.8,64,"M"
"529","Ariel",1964,"Movie",1.87,84,"F"
"528","Rogério",1970,"Guitar",2.6,112,"M"
"531","Melissa",1981,"Cats",2.88,102,"F"
"530","Felipe",1991,"Sports",2.69,120,"M"
"532","Lucas",1980,"Movie",1.92,80,"M"
"533","Lucas",1988,"Cats",2.67,68,"M"
"534","Kátia",1969,"Sports",1.59,88,"F"
"536","Lucas",1976,"Cats",1.84,94,"M"
"535","Ariel",1966,"Chess",2.96,75,"M"
"537","Lucas",1994,"Games",1.88,75,"O"
"538","Felipe",2012,"Guitar",1.76,121,"O"
"539","Nina",1956,"Chess",1.61,62,"F"
"540","Cesar",2018,"Games",1.7,107,"M"
"541","Paulo",2002,"Guitar",2.6,78,"O"
"542","Ariel",1956,"Chess",1.67,116,"O"
"544","Lucas",2010,"Games",2.5,90,"O"
"543","Daniela",2010,"Games",1.59,110,"O"
"545","Felipe",2003,"Dogs",1.51,128,"M"
"546","Ariel",1970,"Magic",2.86,126,"O"
